29, 0, 92
-80, -29, 89
-33, -66, -87
94, 54, -27
-89, 61, 95
-30, 47, 30
43, -26, 9
-17, 18, -90
1, 62, 59
-51, 83, -51
-48, -38, -32
-21, -23, 19
-60, -7, -80
-11, -69, 50
3, -35, 35
79, 0, -3
39, -67, -52
82, 1, -20
68, -8, 6
12, 76, 85
-2, -31, 48
-91, -89, 30
-94, -67, -69
41, 84, -46
15, -55, 59
-44, -60, 68
99, -33, -98
-66, 4, 28
-41, 53, 86
4, -91, -28
-37, 0, 68
28, 63, 38
40, -66, 45
-15, -80, 10
60, 50, -28
26, -27, -58
94, -96, 48
25, 11, -52
33, 30, -46
63, 78, 38
28, -31, 26
65, -11, 38
69, 3, 44
58, -34, -90
-84, -5, -37
-51, -25, 92
12, 45, 17
-96, -33, -16
63, -28, 74
-56, 85, -77
-60, -44, -61
23, -15, -69
-57, 57, 34
97, -33, -18
-87, 92, -13
-37, -64, -84
-9, -82, 81
56, 25, 95
-1, 99, 96
29, 49, -52
95, 20, -77
48, -60, -72
42, 82, 12
97, 64, -8
-67, -67, 99
-26, 90, 38
-7, 93, -4
-64, -70, 69
-44, 84, -13
61, 41, 41
98, -97, 88
-79, 54, -34
-32, -33, 78
-32, -85, -11
-35, 91, -87
43, -45, -22
91, 61, 90
95, 37, 98
-64, -6, -28
6, -61, 94
43, -48, -54
-64, -67, -39
1, -14, 19
-30, -48, 34
64, -95, 37
-4, 66, -24
17, 3, 54
-61, 66, 15
92, -74, 45
82, 30, 17
22, -70, 49
-57, -36, -90
-31, 41, -34
-60, 60, -91
60, 5, 71
61, 77, -18
-38, -21, -17
54, -42, 8
-67, -66, 51
-79, -84, 18
