86.5, 37.5, 5.5
-26.5, -82.5, -60.5
-2.0, 66.0, -63.5
-10.0, 49.5, 23.5
-12.0, -9.0, 13.5
-87.0, -93.5, -12.0
-96.5, 64.0, 26.0
-61.5, 17.5, -41.0
-2.5, 31.0, 24.0
-90.5, -64.5, 39.5
-92.0, -41.0, -60.5
33.5, -60.5, -94.5
-33.0, -0.5, -52.0
-85.0, -62.0, 57.0
-51.5, -2.5, 52.0
-10.5, 83.0, 46.0
-8.5, -43.5, 68.0
33.0, -16.0, 33.5
-79.0, 91.5, -83.0
56.0, 11.5, 10.5
54.0, -39.0, -85.5
-94.0, 50.0, 0.0
5.0, 33.5, 34.5
58.5, -30.5, -26.5
-34.5, 4.0, 80.0
65.5, 2.5, 2.0
-63.5, 7.0, 54.5
82.0, 92.0, -89.5
-10.5, 80.5, -77.5
33.0, 7.5, -72.0
90.5, 41.5, 49.0
18.5, 21.0, 74.0
90.0, 72.5, -57.0
-43.0, -12.5, 68.0
38.5, -3.5, -60.5
25.5, -12.0, 66.5
-43.0, 57.5, 19.0
-82.5, -8.0, 32.0
-27.0, -41.0, -94.5
82.0, 86.5, -65.0
-80.0, 0.0, -11.5
58.0, 7.5, -57.5
1.0, -25.5, -16.5
-62.0, -6.5, 25.5
89.0, 48.0, -89.0
-27.0, -77.0, 33.5
92.5, -94.0, -99.0
-17.0, 49.5, -79.5
-10.5, -100.0, -10.0
-24.5, 49.0, -65.5
74.5, 59.5, 67.5
96.5, -93.0, -31.5
72.5, -91.5, -95.0
47.5, -17.5, 27.0
36.0, 18.5, -15.5
36.0, -29.0, 29.0
24.0, -9.0, -78.5
-86.5, -44.5, -92.0
30.0, -93.0, 51.0
45.5, 79.0, -28.5
66.0, -59.0, -70.5
-58.0, 22.5, -57.5
-42.0, 15.0, 87.0
-50.0, -31.0, -14.0
82.5, 13.5, 2.0
-91.0, 37.5, -34.5
78.5, 29.0, -56.5
-6.5, 24.5, 79.0
64.5, -15.0, 4.0
-59.0, -94.0, -57.0
-54.0, -12.5, -55.5
16.5, -90.0, -65.0
62.5, -16.5, 8.5
97.0, 64.5, -23.5
-49.5, -4.0, 5.0
-94.0, -10.0, -27.0
-51.0, -85.0, 99.5
42.5, -64.0, -79.0
-19.5, 23.0, -76.0
-4.5, -18.5, 62.0
-32.0, -71.5, 38.0
70.0, 53.5, -61.5
-7.5, 8.0, -79.5
-54.0, -58.5, -54.0
51.5, 21.0, -11.5
-27.5, 31.0, -13.0
-57.0, 11.0, -28.0
87.5, 87.0, -64.0
33.0, 53.0, -46.5
80.0, 0.5, 33.5
57.5, -19.5, -21.5
-6.0, 96.5, 16.0
70.0, -95.5, -28.5
-26.5, 28.5, 5.0
59.5, 16.0, 53.5
-7.5, 77.5, 33.5
-99.5, -19.0, -45.5
-10.5, -52.5, 81.5
-22.5, -6.5, -26.0
-34.5, -3.0, -22.5
