80.00, 9.40, -48.95
44.54, -82.45, 87.61
92.92, 84.52, -80.38
96.70, 19.58, 64.08
-74.48, 83.40, 89.16
-19.08, -10.94, 13.18
70.33, -63.30, -17.81
-5.38, 17.21, -57.39
78.32, 8.55, -58.40
-76.18, -37.43, -44.80
-37.83, 10.26, -80.91
45.20, -39.54, 20.45
43.36, -2.61, 92.05
-29.95, 69.96, 35.19
73.45, 41.67, -43.75
-0.17, 96.58, -3.75
-42.52, -80.47, 68.47
-30.67, -97.61, 1.57
-52.47, 41.62, 1.69
57.40, 21.88, -91.62
33.90, 32.53, -73.25
7.24, 3.26, -59.66
-19.16, 68.70, 58.62
-90.99, 73.91, -76.82
-87.82, 81.08, 59.79
17.54, 7.77, -82.61
-9.06, -80.25, 29.05
-73.31, 25.90, -45.32
-28.18, 50.61, -95.21
81.21, 27.89, -60.84
75.68, -29.09, 88.75
68.04, 32.18, -50.80
-86.99, 94.64, 73.54
-1.36, -27.23, -73.38
-69.58, -89.63, -5.46
74.80, 16.62, -28.02
35.10, -69.21, 6.99
72.57, -39.30, -92.25
-68.19, -88.53, -36.94
-91.72, -66.22, -93.96
-33.95, -39.19, -75.66
96.34, 47.61, -62.38
-31.92, -33.32, -73.81
-84.52, -79.52, 57.52
82.59, 19.72, -87.40
70.86, 37.41, -70.28
-75.53, -68.75, 45.69
42.58, -26.53, 18.60
-31.21, -55.91, 13.16
-96.66, -93.70, 68.81
-41.71, -18.80, 43.24
-58.41, 94.52, -22.96
5.63, -5.88, -85.27
-47.53, 79.56, 55.93
-14.19, -36.58, 95.67
97.12, -49.03, 35.67
-40.37, -85.99, 50.26
6.81, 91.46, -70.37
45.00, 72.51, 55.57
34.97, -82.33, -75.99
-64.72, 46.80, -81.37
73.00, -52.93, 68.01
-3.14, 89.38, 49.09
80.53, -65.50, 36.78
-56.97, -81.76, 66.73
70.71, -29.28, -48.11
25.84, -43.47, 62.17
-59.32, -76.22, 53.45
27.38, -34.71, -21.95
-1.68, -62.09, 14.24
-93.82, 62.52, -84.04
13.58, -24.39, 30.09
49.76, -30.95, 79.38
38.10, -24.60, 59.59
85.56, 16.50, 58.52
2.49, 92.45, -71.05
84.46, -39.46, -70.19
-4.04, -74.62, 15.08
13.81, -42.71, 85.70
85.51, 68.63, -95.67
-73.65, 17.21, 0.13
85.10, 17.22, 29.49
50.21, -63.24, 37.76
-30.89, 12.09, 17.64
-40.93, 71.69, 2.63
-53.80, -61.37, 65.39
-16.58, -24.30, 18.19
-16.97, 83.14, 13.59
-64.89, 65.58, 75.71
-76.81, -19.33, -15.05
-7.10, -80.50, 91.18
-93.81, -35.00, 3.99
87.92, -13.02, -22.53
-87.87, -18.13, 91.26
-59.15, -37.55, 60.06
84.60, -28.18, 96.74
-65.83, -63.74, 54.43
-59.78, 44.30, 35.99
84.24, 60.11, 9.68
-38.22, 60.38, 21.63
